sample_unit_id,State_County1,State_County1_Percent,State_County2,State_County2_Percent,State_County3,State_County3_Percent,State_County4,State_County4_Percent
75493,California_Stanislaus,100.00,NA,0.00,NA,0.00,NA,0.00
107020,Oregon_Baker,100.00,NA,0.00,NA,0.00,NA,0.00
105579,Oregon_Coos,93.68,Oregon_Douglas,6.32,NA,0.00,NA,0.00
101877,Oregon_Josephine,85.94,Oregon_Jackson,14.06,NA,0.00,NA,0.00
95445,Idaho_Owyhee,100.00,NA,0.00,NA,0.00,NA,0.00
93537,California_Trinity,100.00,NA,0.00,NA,0.00,NA,0.00
63912,California_San Luis Obispo,100.00,NA,0.00,NA,0.00,NA,0.00
120874,Washington_Cowlitz,87.32,Washington_Lewis,12.68,NA,0.00,NA,0.00
108425,Idaho_Valley,100.00,NA,0.00,NA,0.00,NA,0.00
133385,Washington_Whatcom,97.30,NA,0.00,NA,0.00,NA,0.00
118099,Washington_Clark,100.00,NA,0.00,NA,0.00,NA,0.00
102877,Idaho_Custer,100.00,NA,0.00,NA,0.00,NA,0.00
92168,California_Lassen,100.00,NA,0.00,NA,0.00,NA,0.00
112077,Oregon_Linn,96.93,Oregon_Marion,3.07,NA,0.00,NA,0.00
125552,Washington_Pend Oreille,100.00,NA,0.00,NA,0.00,NA,0.00
56999,California_San Bernardino,100.00,NA,0.00,NA,0.00,NA,0.00
103298,Oregon_Harney,100.00,NA,0.00,NA,0.00,NA,0.00
50499,California_Los Angeles,26.89,NA,0.00,NA,0.00,NA,0.00
99172,Idaho_Blaine,100.00,NA,0.00,NA,0.00,NA,0.00
114408,Oregon_Sherman,100.00,NA,0.00,NA,0.00,NA,0.00
123209,Washington_Kittitas,100.00,NA,0.00,NA,0.00,NA,0.00
98632,California_Siskiyou,100.00,NA,0.00,NA,0.00,NA,0.00
114895,Washington_Garfield,55.67,Washington_Columbia,44.33,NA,0.00,NA,0.00
70423,California_Inyo,100.00,NA,0.00,NA,0.00,NA,0.00
104189,Oregon_Douglas,55.14,Oregon_Coos,30.62,Oregon_Curry,14.24,NA,0.00
114456,Idaho_Idaho,100.00,NA,0.00,NA,0.00,NA,0.00
99612,Oregon_Malheur,100.00,NA,0.00,NA,0.00,NA,0.00
