sample_unit_id,State1,State1_Percent,State2,State2_Percent,State3,State3_Percent
92224,Idaho,100.00,NA,0.00,NA,0.00
112536,Oregon,100.00,NA,0.00,NA,0.00
126470,Washington,100.00,NA,0.00,NA,0.00
55146,California,100.00,NA,0.00,NA,0.00
103304,Oregon,100.00,NA,0.00,NA,0.00
98199,Oregon,100.00,NA,0.00,NA,0.00
101488,Idaho,100.00,NA,0.00,NA,0.00
113478,Oregon,100.00,NA,0.00,NA,0.00
120891,Washington,100.00,NA,0.00,NA,0.00
100487,Oregon,100.00,NA,0.00,NA,0.00
110726,Oregon,100.00,NA,0.00,NA,0.00
67640,California,100.00,NA,0.00,NA,0.00
103723,Oregon,100.00,NA,0.00,NA,0.00
98689,Idaho,100.00,NA,0.00,NA,0.00
81502,California,100.00,NA,0.00,NA,0.00
62067,California,100.00,NA,0.00,NA,0.00
69922,California,78.05,NA,0.00,NA,0.00
121344,Washington,100.00,NA,0.00,NA,0.00
77358,California,100.00,NA,0.00,NA,0.00
56052,California,100.00,NA,0.00,NA,0.00
93083,California,100.00,NA,0.00,NA,0.00
90852,Idaho,100.00,NA,0.00,NA,0.00
110678,Oregon,100.00,NA,0.00,NA,0.00
116280,Washington,100.00,NA,0.00,NA,0.00
63025,California,100.00,NA,0.00,NA,0.00
106550,Oregon,100.00,NA,0.00,NA,0.00
96847,Idaho,100.00,NA,0.00,NA,0.00
110698,Oregon,100.00,NA,0.00,NA,0.00
128774,Washington,100.00,NA,0.00,NA,0.00
110266,Oregon,100.00,NA,0.00,NA,0.00
69010,California,100.00,NA,0.00,NA,0.00
127372,Washington,100.00,NA,0.00,NA,0.00
50067,California,100.00,NA,0.00,NA,0.00
95901,Oregon,100.00,NA,0.00,NA,0.00
85665,California,100.00,NA,0.00,NA,0.00
65323,California,100.00,NA,0.00,NA,0.00
95489,Idaho,100.00,NA,0.00,NA,0.00
108901,Idaho,100.00,NA,0.00,NA,0.00
84755,California,100.00,NA,0.00,NA,0.00
112565,Oregon,100.00,NA,0.00,NA,0.00
57916,California,100.00,NA,0.00,NA,0.00
98636,California,100.00,NA,0.00,NA,0.00
92703,Idaho,100.00,NA,0.00,NA,0.00
102366,Oregon,100.00,NA,0.00,NA,0.00
122763,Washington,100.00,NA,0.00,NA,0.00
62096,California,100.00,NA,0.00,NA,0.00
79663,California,100.00,NA,0.00,NA,0.00
106100,Idaho,100.00,NA,0.00,NA,0.00
50971,California,100.00,NA,0.00,NA,0.00
107441,Oregon,100.00,NA,0.00,NA,0.00
123682,Washington,100.00,NA,0.00,NA,0.00
88437,California,100.00,NA,0.00,NA,0.00
66702,California,100.00,NA,0.00,NA,0.00
124594,Washington,100.00,NA,0.00,NA,0.00
113519,Idaho,100.00,NA,0.00,NA,0.00
46353,California,100.00,NA,0.00,NA,0.00
99605,Oregon,100.00,NA,0.00,NA,0.00
61153,California,100.00,NA,0.00,NA,0.00
125503,Washington,100.00,NA,0.00,NA,0.00
129255,Washington,37.23,NA,0.00,NA,0.00
52841,California,100.00,NA,0.00,NA,0.00
84749,California,100.00,NA,0.00,NA,0.00
111635,Oregon,100.00,NA,0.00,NA,0.00
52828,California,100.00,NA,0.00,NA,0.00
