SampleUnit,GRTS,State1,State1_Percent,State2,State2_Percent,State3,State3_Percent,State_County1,State_County1_Percent,State_County2,State_County2_Percent,State_County3,State_County3_Percent,State_County4,State_County4_Percent,BroadHabitat_Class,BroadHabitat_Form
118615,305,Idaho,100.00,NA,0.00,NA,0.00,Idaho_Shoshone,100.00,NA,0.00,NA,0.00,NA,0.00,Recently Disturbed or Modified,Recently Disturbed or Modified
91701,314,California,100.00,NA,0.00,NA,0.00,California_Shasta,97.36,California_Lassen,2.64,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
113930,337,Oregon,100.00,NA,0.00,NA,0.00,Oregon_Clackamas,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
123700,353,Washington,100.00,NA,0.00,NA,0.00,Washington_Spokane,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
59324,358,California,100.00,NA,0.00,NA,0.00,California_San Bernardino,100.00,NA,0.00,NA,0.00,NA,0.00,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
102386,369,Oregon,100.00,NA,0.00,NA,0.00,Oregon_Malheur,100.00,NA,0.00,NA,0.00,NA,0.00,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
97272,378,Oregon,100.00,NA,0.00,NA,0.00,Oregon_Lake,100.00,NA,0.00,NA,0.00,NA,0.00,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
100552,394,Idaho,100.00,NA,0.00,NA,0.00,Idaho_Elmore,100.00,NA,0.00,NA,0.00,NA,0.00,Shrub & Herb Vegetation,Temperate Grassland & Shrubland
109303,401,Oregon,100.00,NA,0.00,NA,0.00,Oregon_Deschutes,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
130617,417,Washington,100.00,NA,0.00,NA,0.00,Washington_Whatcom,90.66,Washington_Skagit,9.34,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
96775,426,California,100.00,NA,0.00,NA,0.00,California_Humboldt,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
115352,433,Washington,100.00,NA,0.00,NA,0.00,Washington_Walla Walla,100.00,NA,0.00,NA,0.00,NA,0.00,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
